name,brand,category,subcategory,location,barcode,units_per_case
"Leroux Blackberry Brandy, 750 mL","Leroux","spirits","Brandy","","0080686092407","12"
"Cucumber Jalepaño Tequila","21 Seeds","spirits","Tequila","","0850003519005","12"
"Unidentified white wine","","white_wine","White Blend","","0080686967484","12"
"Extra Dry Vermouth 375ml","Martini & Rossi","spirits","Vermouth","","","12"
"Sancerre Sauvignon Blanc 750ml","Domaine de Saint-Pierre","white_wine","Sauvignon Blanc","","3760110940050","12"
"Skrewball Peanut Butter Whiskey (1 L)","Skrewball","spirits","Whiskey","","0860265002443","12"
"No.1 Cup 1L","Pimm's","spirits","Aperitif","","0088004143534","12"
"Grove 42","","spirits","","","0088076185838","12"
"Cuvée Laurent Brut Blanc de Blancs","Maison Breban","sparkling","Sparkling","","","12"
"Lugana Cromalgo 2020 750ml","Corte Sermana","white_wine","White Blend","","8056684020010","12"
"Riesling (North Fork of Long Island) 2022","Rose Hill Vineyards","white_wine","Riesling","","","12"
"Averna 0.7l","","spirits","Aperitif","","8000400203799","12"
"Ancho Reyes Licor De Chile Ancho 80","Ancho Reyes","spirits","Liqueur","","0083664873166","6"
"Blue Curaçao 750ml","Giffard","spirits","Liqueur","","0852322824037","12"
"Crème de Cassis de Dijon 750 ml","Gabriel Boudier","spirits","Liqueur","","","12"
"Blue Curaçao","","spirits","Liqueur","","0096749933419","12"
"Amaro Quintessentia 35% ABV","Nonino","spirits","Aperitif","","","12"
"2015 Pauillac 750ml","Château Grand-Puy-Lacoste","red_wine","Cabernet Sauvignon","","32770384069526","6"
"Chandon Brut Sparkling Wine - 750ml Bottle","Chandon","sparkling","Sparkling","","0085155000013","12"
"Blanco","Arette","spirits","Tequila","","0704228011212","12"
"Rosso 25.36 fl oz","Martini & Rossi","spirits","Vermouth","","0011034410055","12"
"New England Whiskey","Boston Harbor Distillery","spirits","Whiskey","","0851020006004","12"
"1776 Straight Bourbon 750ml","James E. Pepper","spirits","Bourbon","","0736211596093","12"
"Prosecco","LaMarca","sparkling","Prosecco","","0085000017739","12"
"Islay Single Math Scoth Whisky 750 mL","Laphroaig","spirits","Scotch","","0080686813019","12"
"Bric Amel Langhe","Marchesi di Barolo","white_wine","Red Blend","","","12"
"Brut 750ml","Barons de Rothschild","sparkling","Champagne","","0847716000180","12"
"Rosé (unknown producer)","","rose_wine","Rosé","","0893041000241","12"
"Platinum 750ml","Gran Patrón","spirits","Tequila","","","12"
"Frontier Bourbon (Kentucky Straight Bourbon) 750ml","Bulleit","spirits","Bourbon","","","12"
"Blanc 750ml","Lillet","spirits","Aperitif","","https://e-label.pernod-ricard.com/L00952","12"
"cream liqueur (unknown)","","spirits","Liqueur","","0793573762764","12"
"D.O.M. Liqueur","Bénédictine","spirits","Liqueur","","0080480555405","12"
"Bianco Vermouth 750ml","Cinzano","spirits","Vermouth","","0086785900032","12"
"1760 Père & Fils Brut","Lanson","sparkling","Champagne","","","12"
"Eclipse Heritage Blend Rum","Mount Gay","spirits","Rum","","0087236950033","12"
"Pinot Grigio Friuli Colli Orientali DOC 2021","","white_wine","Pinot Grigio","","8034097962158","12"
"Delle Venezie Pinot Grigio 750ml","La Vendemmia","white_wine","Pinot Grigio","","0652668000139","12"
"Chichicapa Mezcal","Los Vecinos","spirits","Mezcal","","0088004031060","12"
"Manta Sauvignon Blanc 750ml","Casa Julia Estate","white_wine","Sauvignon Blanc","","0837571003600","12"
